===== 1D HYBRID: 1 PROCESSES × 16 THREADS =====
N  sequential  mpi  speedup
1024  0.000490156  0.00242894  0.201798
2048  0.000992569  0.0031992  0.310255
4096  0.00188873  0.00390905  0.483169
8192  0.00330056  0.00538555  0.612855
16384  0.00524684  0.00881806  0.595012
32768  0.00887349  0.0137325  0.646169
65536  0.0186814  0.0232431  0.803737
131072  0.0394326  0.0420781  0.937128
262144  0.0825341  0.0864968  0.954186
524288  0.174364  0.180787  0.964471
1048576  0.365905  0.37163  0.984595
